,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,58,4,1,2,0,2143,1,0,2,5,8,261,1,-1,0,3,no
1,44,9,2,1,0,29,1,0,2,5,8,151,1,-1,0,3,no
2,33,2,1,1,0,2,1,1,2,5,8,76,1,-1,0,3,no
3,47,1,1,3,0,1506,1,0,2,5,8,92,1,-1,0,3,no
4,33,11,2,3,0,1,0,0,2,5,8,198,1,-1,0,3,no
5,35,4,1,2,0,231,1,0,2,5,8,139,1,-1,0,3,no
6,28,4,2,2,0,447,1,1,2,5,8,217,1,-1,0,3,no
7,42,2,0,2,1,2,1,0,2,5,8,380,1,-1,0,3,no
8,58,5,1,0,0,121,1,0,2,5,8,50,1,-1,0,3,no
9,43,9,2,1,0,593,1,0,2,5,8,55,1,-1,0,3,no
10,41,0,0,1,0,270,1,0,2,5,8,222,1,-1,0,3,no
11,29,0,2,1,0,390,1,0,2,5,8,137,1,-1,0,3,no
12,53,9,1,1,0,6,1,0,2,5,8,517,1,-1,0,3,no
13,58,9,1,3,0,71,1,0,2,5,8,71,1,-1,0,3,no
14,57,7,1,1,0,162,1,0,2,5,8,174,1,-1,0,3,no
15,51,5,1,0,0,229,1,0,2,5,8,353,1,-1,0,3,no
16,45,0,2,3,0,13,1,0,2,5,8,98,1,-1,0,3,no
17,57,1,1,0,0,52,1,0,2,5,8,38,1,-1,0,3,no
18,60,5,1,0,0,60,1,0,2,5,8,219,1,-1,0,3,no
19,33,7,1,1,0,0,1,0,2,5,8,54,1,-1,0,3,no
20,28,1,1,1,0,723,1,1,2,5,8,262,1,-1,0,3,no
21,56,4,1,2,0,779,1,0,2,5,8,164,1,-1,0,3,no
22,32,1,2,0,0,23,1,1,2,5,8,160,1,-1,0,3,no
23,25,7,1,1,0,50,1,0,2,5,8,342,1,-1,0,3,no
24,40,5,1,0,0,0,1,1,2,5,8,181,1,-1,0,3,no
25,44,0,1,1,0,-372,1,0,2,5,8,172,1,-1,0,3,no
26,39,4,2,2,0,255,1,0,2,5,8,296,1,-1,0,3,no
27,52,2,1,1,0,113,1,1,2,5,8,127,1,-1,0,3,no
28,46,4,2,1,0,-246,1,0,2,5,8,255,2,-1,0,3,no
29,36,9,2,1,0,265,1,1,2,5,8,348,1,-1,0,3,no
30,57,9,1,1,0,839,0,1,2,5,8,225,1,-1,0,3,no
31,49,4,1,2,0,378,1,0,2,5,8,230,1,-1,0,3,no
32,60,0,1,1,0,39,1,1,2,5,8,208,1,-1,0,3,no
33,59,1,1,1,0,0,1,0,2,5,8,226,1,-1,0,3,no
34,51,4,1,2,0,10635,1,0,2,5,8,336,1,-1,0,3,no
35,57,9,0,1,0,63,1,0,2,5,8,242,1,-1,0,3,no
36,25,1,1,1,0,-7,1,0,2,5,8,365,1,-1,0,3,no
37,53,9,1,1,0,-3,0,0,2,5,8,1666,1,-1,0,3,no
38,36,0,0,1,0,506,1,0,2,5,8,577,1,-1,0,3,no
39,37,0,2,1,0,0,1,0,2,5,8,137,1,-1,0,3,no
40,44,7,0,1,0,2586,1,0,2,5,8,160,1,-1,0,3,no
41,50,4,1,1,0,49,1,0,2,5,8,180,2,-1,0,3,no
42,60,1,1,3,0,104,1,0,2,5,8,22,1,-1,0,3,no
43,54,5,1,1,0,529,1,0,2,5,8,1492,1,-1,0,3,no
44,58,5,1,3,0,96,1,0,2,5,8,616,1,-1,0,3,no
45,36,0,2,0,0,-171,1,0,2,5,8,242,1,-1,0,3,no
46,58,6,1,2,0,-364,1,0,2,5,8,355,1,-1,0,3,no
47,44,9,1,1,0,0,1,0,2,5,8,225,2,-1,0,3,no
48,55,9,0,1,0,0,0,0,2,5,8,160,1,-1,0,3,no
49,29,4,2,2,0,0,1,0,2,5,8,363,1,-1,0,3,no
50,54,1,1,1,0,1291,1,0,2,5,8,266,1,-1,0,3,no
51,48,4,0,2,0,-244,1,0,2,5,8,253,1,-1,0,3,no
52,32,4,1,2,0,0,1,0,2,5,8,179,1,-1,0,3,no
53,42,0,2,1,0,-76,1,0,2,5,8,787,1,-1,0,3,no
54,24,9,2,1,0,-103,1,1,2,5,8,145,1,-1,0,3,no
55,38,2,2,2,0,243,0,1,2,5,8,174,1,-1,0,3,no
56,38,4,2,2,0,424,1,0,2,5,8,104,1,-1,0,3,no
57,47,1,1,3,0,306,1,0,2,5,8,13,1,-1,0,3,no
